q1	q2	q3	q4	q5	q6
-0.959931	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9599121318306642	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9597829196088373	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9594407989210091	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.958791492210917	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9577487887557441	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9562343246423144	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.954177362743291	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9515145726933714	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9481898108654851	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9441539003469903	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9393644109158698	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9337854390169281	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9273873877379887	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9201467467860899	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9120458724636817	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9030727676448228	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8932208617513773	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8824887907292104	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8708801770243867	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8584034095593657	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8450714237091987	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8309014812777258	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8159149504737725	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8001370858873457	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.7835968084658315	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.7663264854901913	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.7483617105511583	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.7297410835254348	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.7105059905518877	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.6907003840077466	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.6703705624848002	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.6495649507655918	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.6283338797996172	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.6067293666795212	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.5848048946172937	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.562615192920467	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.5402160169683127	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.5176639281880369	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.4950160740309788	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.47232996794880644	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.4496632693697128	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.4270735636746138	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.40461814217334424	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.3823537820808543	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.3603365264934069	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.3386214643647733	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.3172625104824316	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.2963121854437608	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.2758213956322393	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.2558392131936432	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.23641265601223804	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.21758646768698076	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.199402897507713	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.1819014804313599	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.16511881705812326	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.1490883536076839	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.13384016189539372	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.11940071930847429	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.10579268878221137	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.093034698776155	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.08114112325031408	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.07012186164135548	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.059982118838794785	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.050722185161198086	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.04233721633238119	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.034817013457597135	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.028145802999740344	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.02230201675554433	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.017258071831770305	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.012980150621413333	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.009427980779892042	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.006554615201249003	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.004306211994346221	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.0026218144590579584	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.001433131062477777	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.0006643154151078079	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.00023174624704669355	-0.314159	1.69297	0.05	-1.98968	0.959931
-4.380738420994845e-05	-0.314159	1.69297	0.05	-1.98968	0.959931
-6.677245059094616e-07	-0.314159	1.69297	0.05	-1.98968	0.959931
0.0	-0.314159	1.69297	0.05	-1.98968	0.959931
0.0	-0.31398967433969605	1.69297	0.05	-1.98968	0.959931
0.0	-0.31288354595365714	1.69297	0.05	-1.98968	0.959931
0.0	-0.31011284735106526	1.69297	0.05	-1.98968	0.959931
0.0	-0.30516041379368297	1.69297	0.05	-1.98968	0.959931
0.0	-0.29770050404179144	1.69297	0.05	-1.98968	0.959931
0.0	-0.2875796211001293	1.69297	0.05	-1.98968	0.959931
0.0	-0.2747973329638307	1.69297	0.05	-1.98968	0.959931
0.0	-0.25948709336436365	1.69297	0.05	-1.98968	0.959931
0.0	-0.2418970625154686	1.69297	0.05	-1.98968	0.959931
0.0	-0.2223709278590963	1.69297	0.05	-1.98968	0.959931
0.0	-0.20132872481134678	1.69297	0.05	-1.98968	0.959931
0.0	-0.1792476575084072	1.69297	0.05	-1.98968	0.959931
0.0	-0.15664291955249052	1.69297	0.05	-1.98968	0.959931
0.0	-0.13404851475777357	1.69297	0.05	-1.98968	0.959931
0.0	-0.11199807789633567	1.69297	0.05	-1.98968	0.959931
0.0	-0.09100569544409659	1.69297	0.05	-1.98968	0.959931
0.0	-0.07154672632675599	1.69297	0.05	-1.98968	0.959931
0.0	-0.05403862266572962	1.69297	0.05	-1.98968	0.959931
0.0	-0.038821750524089926	1.69297	0.05	-1.98968	0.959931
0.0	-0.026140210652502827	1.69297	0.05	-1.98968	0.959931
0.0	-0.01612265923516798	1.69297	0.05	-1.98968	0.959931
0.0	-0.00876312863575468	1.69297	0.05	-1.98968	0.959931
0.0	-0.003901848143341491	1.69297	0.05	-1.98968	0.959931
0.0	-0.0012060647183547157	1.69297	0.05	-1.98968	0.959931
0.0	-0.00015086373850636825	1.69297	0.05	-1.98968	0.959931
0.0	0.0	1.69297	0.05	-1.98968	0.959931
0.0	0.0	1.6929920277354524	0.05	-1.98968	0.959931
0.0	0.0	1.693143153993448	0.05	-1.98968	0.959931
0.0	0.0	1.6935441377539577	0.05	-1.98968	0.959931
0.0	0.0	1.6943068365876701	0.05	-1.98968	0.959931
0.0	0.0	1.6955344225568714	0.05	-1.98968	0.959931
0.0	0.0	1.6973215981163254	0.05	-1.98968	0.959931
0.0	0.0	1.6997548120141495	0.05	-1.98968	0.959931
0.0	0.0	1.7029124751926956	0.05	-1.98968	0.959931
0.0	0.0	1.7068651766894274	0.05	-1.98968	0.959931
0.0	0.0	1.7116758995378	0.05	-1.98968	0.959931
0.0	0.0	1.7174002366681387	0.05	-1.98968	0.959931
0.0	0.0	1.7240866068085166	0.05	-1.98968	0.959931
0.0	0.0	1.7317764703856342	0.05	-1.98968	0.959931
0.0	0.0	1.740504545425698	0.05	-1.98968	0.959931
0.0	0.0	1.7502990234552998	0.05	-1.98968	0.959931
0.0	0.0	1.7611817854022929	0.05	-1.98968	0.959931
0.0	0.0	1.7731686174966745	0.05	-1.98968	0.959931
0.0	0.0	1.7862694271714614	0.05	-1.98968	0.959931
0.0	0.0	1.8004884589635706	0.05	-1.98968	0.959931
0.0	0.0	1.8158245104146964	0.05	-1.98968	0.959931
0.0	0.0	1.8322711479721907	0.05	-1.98968	0.959931
0.0	0.0	1.8498169228899402	0.05	-1.98968	0.959931
0.0	0.0	1.8684455871292462	0.05	-1.98968	0.959931
0.0	0.0	1.8881363092597034	0.05	-1.98968	0.959931
0.0	0.0	1.9088638903600774	0.05	-1.98968	0.959931
0.0	0.0	1.9305989799191845	0.05	-1.98968	0.959931
0.0	0.0	1.9533082917367692	0.05	-1.98968	0.959931
0.0	0.0	1.9769548198243863	0.05	-1.98968	0.959931
0.0	0.0	2.0014980543062735	0.05	-1.98968	0.959931
0.0	0.0	2.026894197320236	0.05	-1.98968	0.959931
0.0	0.0	2.0530963789185224	0.05	-1.98968	0.959931
0.0	0.0	2.080054872968704	0.05	-1.98968	0.959931
0.0	0.0	2.1077173130545526	0.05	-1.98968	0.959931
0.0	0.0	2.1360289083769213	0.05	-1.98968	0.959931
0.0	0.0	2.16493265965462	0.05	-1.98968	0.959931
0.0	0.0	2.194369575025298	0.05	-1.98968	0.959931
0.0	0.0	2.2242788859463185	0.05	-1.98968	0.959931
0.0	0.0	2.254598263095642	0.05	-1.98968	0.959931
0.0	0.0	2.2852640322727003	0.05	-1.98968	0.959931
0.0	0.0	2.3162113902992782	0.05	-1.98968	0.959931
0.0	0.0	2.3473746209203927	0.05	-1.98968	0.959931
0.0	0.0	2.3786873107051676	0.05	-1.98968	0.959931
0.0	0.0	2.4100825649477176	0.05	-1.98968	0.959931
0.0	0.0	2.4414932235680227	0.05	-1.98968	0.959931
0.0	0.0	2.472852077012808	0.05	-1.98968	0.959931
0.0	0.0	2.5040920821564283	0.05	-1.98968	0.959931
0.0	0.0	2.535146578201732	0.05	-1.98968	0.959931
0.0	0.0	2.5659495025809593	0.05	-1.98968	0.959931
0.0	0.0	2.5964356068566046	0.05	-1.98968	0.959931
0.0	0.0	2.6265406726223026	0.05	-1.98968	0.959931
0.0	0.0	2.6562017274037077	0.05	-1.98968	0.959931
0.0	0.0	2.685357260559369	0.05	-1.98968	0.959931
0.0	0.0	2.7139474391816125	0.05	-1.98968	0.959931
0.0	0.0	2.7419143239974177	0.05	-1.98968	0.959931
0.0	0.0	2.769202085269295	0.05	-1.98968	0.959931
0.0	0.0	2.7957572186961697	0.05	-1.98968	0.959931
0.0	0.0	2.8215287613142532	0.05	-1.98968	0.959931
0.0	0.0	2.8464685073979306	0.05	-1.98968	0.959931
0.0	0.0	2.8705312243606307	0.05	-1.98968	0.959931
0.0	0.0	2.8936748686557094	0.05	-1.98968	0.959931
0.0	0.0	2.915860801677328	0.05	-1.98968	0.959931
0.0	0.0	2.9370540056613317	0.05	-1.98968	0.959931
0.0	0.0	2.9572232995861256	0.05	-1.98968	0.959931
0.0	0.0	2.976341555073562	0.05	-1.98968	0.959931
0.0	0.0	2.9943859122898067	0.05	-1.98968	0.959931
0.0	0.0	3.0113379958462247	0.05	-1.98968	0.959931
0.0	0.0	3.027184130700262	0.05	-1.98968	0.959931
0.0	0.0	3.041915558056316	0.05	-1.98968	0.959931
0.0	0.0	3.055528651266622	0.05	-1.98968	0.959931
0.0	0.0	3.0680251317321274	0.05	-1.98968	0.959931
0.0	0.0	3.079412284803373	0.05	-1.98968	0.959931
0.0	0.0	3.0897031756813655	0.05	-1.98968	0.959931
0.0	0.0	3.0989168653184667	0.05	-1.98968	0.959931
0.0	0.0	3.1070786263192627	0.05	-1.98968	0.959931
0.0	0.0	3.1142201588414498	0.05	-1.98968	0.959931
0.0	0.0	3.1203798064967048	0.05	-1.98968	0.959931
0.0	0.0	3.1256027722515745	0.05	-1.98968	0.959931
0.0	0.0	3.1299413343283433	0.05	-1.98968	0.959931
0.0	0.0	3.1334550621059236	0.05	-1.98968	0.959931
0.0	0.0	3.136211032020718	0.05	-1.98968	0.959931
0.0	0.0	3.1382840434675225	0.05	-1.98968	0.959931
0.0	0.0	3.1397568347003757	0.05	-1.98968	0.959931
0.0	0.0	3.14072029873346	0.05	-1.98968	0.959931
0.0	0.0	3.141273699241977	0.05	-1.98968	0.959931
0.0	0.0	3.1415248864630128	0.05	-1.98968	0.959931
0.0	0.0	3.141590513096432	0.05	-1.98968	0.959931
0.0	0.0	3.141592653589793	0.05	-1.98968	0.959931
0.0	0.0	3.141592653589793	0.03937472326385845	-1.98968	0.959931
0.0	0.0	3.141592653589793	0.010233021833025949	-1.98968	0.959931
0.0	0.0	3.141592653589793	0.0	-1.98968	0.959931
0.0	0.0	3.141592653589793	0.0	-1.989648793540213	0.959931
0.0	0.0	3.141592653589793	0.0	-1.989434740081654	0.959931
0.0	0.0	3.141592653589793	0.0	-1.9888669294130534	0.959931
0.0	0.0	3.141592653589793	0.0	-1.987787189328969	0.959931
0.0	0.0	3.141592653589793	0.0	-1.9860497732911981	0.959931
0.0	0.0	3.141592653589793	0.0	-1.983521048090189	0.959931
0.0	0.0	3.141592653589793	0.0	-1.9800791815064505	0.959931
0.0	0.0	3.141592653589793	0.0	-1.9756138299719623	0.959931
0.0	0.0	3.141592653589793	0.0	-1.970025826231588	0.959931
0.0	0.0	3.141592653589793	0.0	-1.9632268670044821	0.959931
0.0	0.0	3.141592653589793	0.0	-1.9551392006455042	0.959931
0.0	0.0	3.141592653589793	0.0	-1.945695314806627	0.959931
0.0	0.0	3.141592653589793	0.0	-1.934837624098349	0.959931
0.0	0.0	3.141592653589793	0.0	-1.922518157751104	0.959931
0.0	0.0	3.141592653589793	0.0	-1.9086982472766723	0.959931
0.0	0.0	3.141592653589793	0.0	-1.8933482141295903	0.959931
0.0	0.0	3.141592653589793	0.0	-1.8764470573685637	0.959931
0.0	0.0	3.141592653589793	0.0	-1.8579821413178745	0.959931
0.0	0.0	3.141592653589793	0.0	-1.8379488832287958	0.959931
0.0	0.0	3.141592653589793	0.0	-1.816350440940999	0.959931
0.0	0.0	3.141592653589793	0.0	-1.7931974005439657	0.959931
0.0	0.0	3.141592653589793	0.0	-1.7685074640383993	0.959931
0.0	0.0	3.141592653589793	0.0	-1.7423051369976352	0.959931
0.0	0.0	3.141592653589793	0.0	-1.7146214162290503	0.959931
0.0	0.0	3.141592653589793	0.0	-1.685493477435475	0.959931
0.0	0.0	3.141592653589793	0.0	-1.6549643628766035	0.959931
0.0	0.0	3.141592653589793	0.0	-1.623082669030404	0.959931
0.0	0.0	3.141592653589793	0.0	-1.5899022342545308	0.959931
0.0	0.0	3.141592653589793	0.0	-1.5554818264477328	0.959931
0.0	0.0	3.141592653589793	0.0	-1.5198848307112662	0.959931
0.0	0.0	3.141592653589793	0.0	-1.4831789370103043	0.959931
0.0	0.0	3.141592653589793	0.0	-1.4454358278353479	0.959931
0.0	0.0	3.141592653589793	0.0	-1.4067308658636364	0.959931
0.0	0.0	3.141592653589793	0.0	-1.3671427816205581	0.959931
0.0	0.0	3.141592653589793	0.0	-1.3267533611410622	0.959931
0.0	0.0	3.141592653589793	0.0	-1.2856471336310673	0.959931
0.0	0.0	3.141592653589793	0.0	-1.2439110591288738	0.959931
0.0	0.0	3.141592653589793	0.0	-1.2016342161665738	0.959931
0.0	0.0	3.141592653589793	0.0	-1.1589074894314624	0.959931
0.0	0.0	3.141592653589793	0.0	-1.1158232574274471	0.959931
0.0	0.0	3.141592653589793	0.0	-1.0724750801364606	0.959931
0.0	0.0	3.141592653589793	0.0	-1.0289573866798682	0.959931
0.0	0.0	3.141592653589793	0.0	-0.9853651629798833	0.959931
0.0	0.0	3.141592653589793	0.0	-0.9417936394209727	0.959931
0.0	0.0	3.141592653589793	0.0	-0.8983379785112718	0.959931
0.0	0.0	3.141592653589793	0.0	-0.8550929625439914	0.959931
0.0	0.0	3.141592653589793	0.0	-0.8121526812588327	0.959931
0.0	0.0	3.141592653589793	0.0	-0.769610219503393	0.959931
0.0	0.0	3.141592653589793	0.0	-0.7275573448945802	0.959931
0.0	0.0	3.141592653589793	0.0	-0.6860841954800242	0.959931
0.0	0.0	3.141592653589793	0.0	-0.6452789673994819	0.959931
0.0	0.0	3.141592653589793	0.0	-0.6052276025462525	0.959931
0.0	0.0	3.141592653589793	0.0	-0.5660134762285909	0.959931
0.0	0.0	3.141592653589793	0.0	-0.5277170848311104	0.959931
0.0	0.0	3.141592653589793	0.0	-0.49041573347619916	0.959931
0.0	0.0	3.141592653589793	0.0	-0.4541832236854302	0.959931
0.0	0.0	3.141592653589793	0.0	-0.41908954104097185	0.959931
0.0	0.0	3.141592653589793	0.0	-0.38520054284699623	0.959931
0.0	0.0	3.141592653589793	0.0	-0.35257764579109097	0.959931
0.0	0.0	3.141592653589793	0.0	-0.32127751360567336	0.959931
0.0	0.0	3.141592653589793	0.0	-0.2913517447293956	0.959931
0.0	0.0	3.141592653589793	0.0	-0.26284655996856054	0.959931
0.0	0.0	3.141592653589793	0.0	-0.2358024901585285	0.959931
0.0	0.0	3.141592653589793	0.0	-0.2102540638251269	0.959931
0.0	0.0	3.141592653589793	0.0	-0.18622949484606943	0.959931
0.0	0.0	3.141592653589793	0.0	-0.1637503701123566	0.959931
0.0	0.0	3.141592653589793	0.0	-0.14283133718968788	0.959931
0.0	0.0	3.141592653589793	0.0	-0.12347979197988046	0.959931
0.0	0.0	3.141592653589793	0.0	-0.10569556638227517	0.959931
